Pergunta,Resposta
Meu navegador está com muitos anúncios.,Isso pode ser causado por extensões maliciosas ou malware. Desinstale extensões suspeitas e faça uma varredura com um antivírus/anti-malware.
Como faço para reiniciar meu computador?,"No Windows, clique em Iniciar > Ligar/Desligar > Reiniciar. No macOS, clique no menu Apple > Reiniciar."
O computador está fazendo um barulho estranho.,"Barulhos podem indicar problemas com ventoinhas, disco rígido ou outros componentes. Desligue o computador e entre em contato com o suporte para uma avaliação."
Não consigo salvar meu documento.,"Verifique se você tem espaço em disco suficiente. Certifique-se de que não está tentando salvar em uma pasta com permissões restritas. Tente salvar em um local diferente, como a área de trabalho."
Como atualizo meu sistema operacional?,"No Windows, vá em Configurações > Atualização e Segurança > Windows Update. No macOS, vá em Preferências do Sistema > Atualização de Software."
O antivírus está dando um alerta.,"Leia a mensagem do alerta. Siga as instruções do antivírus para quarentena ou remoção da ameaça. Se não souber o que fazer, não clique em nada e aguarde orientação."
Preciso de um novo cabo de rede.,Um cabo de rede é um cabo Ethernet. Você pode comprar em lojas de eletrônicos ou informática.
Onde encontro os drivers do meu dispositivo?,"Os drivers geralmente são encontrados no site do fabricante do seu computador ou do próprio dispositivo (placa de vídeo, impressora, etc.)."
Meu arquivo não abre.,"Verifique se você tem o programa correto instalado para abrir o tipo de arquivo (ex: .doc precisa do Word). O arquivo pode estar corrompido, tente abrir uma cópia de backup se tiver."
Não consigo esvaziar a lixeira.,Verifique se há algum arquivo em uso dentro da lixeira. Feche todos os programas e tente esvaziar novamente. Reiniciar o computador pode ajudar.
Como faço uma captura de tela (screenshot)?,"No Windows, use a tecla Print Screen (PrtSc) e cole em um editor de imagem, ou use a ferramenta de Captura, podemos utilizar tambem o atalho Ctrl+Shift+S para abrir a ferramenta de captura imediatamente. No macOS, use Command+Shift+3 ou Command+Shift+4."
Meu fone de ouvido não funciona.,Verifique se o fone está bem conectado. Teste em outra porta de áudio ou em outro dispositivo. Verifique as configurações de áudio do seu computador.
A bateria do meu notebook está acabando rápido.,Desconecte dispositivos USB desnecessários. Diminua o brilho da tela. Verifique os programas que estão consumindo muita energia no Gerenciador de Tarefas. Considere uma troca de bateria se ela for muito antiga.
Como conecto meu celular ao computador?,"Use um cabo USB para conectar o celular ao computador. No celular, selecione a opção ""Transferência de arquivos"" ou ""MTP""."
Não consigo fazer chamadas pelo VoIP.,Verifique sua conexão com a internet. Certifique-se de que seu microfone e fone de ouvido estão configurados corretamente e funcionando. O serviço de VoIP pode estar com problemas.
Meu monitor externo não é detectado.,Verifique os cabos de vídeo. Certifique-se de que o monitor está ligado. Tente usar as teclas de função do seu notebook para alternar entre as telas (geralmente Fn + F4 ou similar).
Como limpo a tela do meu monitor?,"Use um pano de microfibra limpo e seco. Se precisar de líquido, use um produto específico para telas eletrônicas, aplicando no pano e não diretamente na tela."
O Bluetooth não liga.,"No Windows, vá em Configurações > Dispositivos > Bluetooth e outros dispositivos. No macOS, vá em Preferências do Sistema > Bluetooth. Certifique-se de que o Bluetooth está ativado."
Meu microfone não está funcionando.,Verifique se o microfone está conectado corretamente. Certifique-se de que o aplicativo que você está usando tem permissão para acessar o microfone nas configurações de privacidade do sistema. Teste o volume do microfone nas configurações de som.
Preciso de mais espaço na nuvem.,"Você pode comprar mais espaço de armazenamento nos serviços de nuvem que utiliza (Google Drive, OneDrive, Dropbox). Verifique os planos disponíveis de cada serviço."
Como faço para formatar um pendrive?,"No Windows, clique com o botão direito no pendrive em ""Meu Computador"" e selecione ""Formatar"". No macOS, use o Utilitário de Disco. Atenção: Isso apagará todos os dados do pendrive!"
"Recebo ""Disco Cheio"" ao tentar salvar algo.","Isso significa que seu disco rígido não tem mais espaço livre. Delete arquivos grandes e desnecessários, esvazie a lixeira, ou desinstale programas que não usa para liberar espaço."
Meu navegador está muito lento.,Limpe o cache e os cookies do navegador. Desative ou remova extensões desnecessárias. Reinicie o navegador e o computador.
A data e hora do meu computador estão erradas.,"No Windows, vá em Configurações > Hora e Idioma > Data e hora e ative ""Definir horário automaticamente"". No macOS, vá em Preferências do Sistema > Data e Hora."
Não consigo ejetar um pendrive com segurança.,"Feche todos os arquivos e programas que possam estar usando o pendrive. No Windows, clique no ícone ""Remover Hardware com Segurança"" na barra de tarefas. No macOS, arraste o ícone do pendrive para a Lixeira."
Como faço para espelhar a tela do meu celular na TV?,"Verifique se sua TV suporta espelhamento (Screen Mirroring, Chromecast, AirPlay). Geralmente, há uma opção no seu celular (como ""Transmitir"", ""Smart View"" ou ""Screen Mirroring"") para conectar-se à TV. Ambos precisam estar na mesma rede Wi-Fi."
Meu áudio está com ruído.,"Verifique os cabos de áudio. Se for um microfone, teste em outro dispositivo. Pode ser interferência elétrica ou problema no driver de áudio."
Não consigo abrir arquivos .PDF.,"Você precisa de um leitor de PDF, como o Adobe Acrobat Reader. Baixe e instale um programa leitor de PDF gratuito."
O computador está aquecendo muito.,Verifique se as saídas de ar do computador não estão bloqueadas. Tente usar o computador em uma superfície plana e dura. Limpe a poeira das ventoinhas (se souber como). Evite usá-lo em locais com alta temperatura.
Meu monitor está piscando.,Verifique o cabo de vídeo. Tente ajustar a taxa de atualização do monitor nas configurações de vídeo do computador. Pode ser um problema no driver de vídeo ou no próprio monitor.
Como tiro um vírus do meu computador?,"Use um programa antivírus confiável para fazer uma varredura completa. Se o antivírus encontrar algo, siga as instruções para remover ou colocar em quarentena. Mantenha seu antivírus sempre atualizado."
Preciso compartilhar um arquivo grande.,"Use serviços de armazenamento em nuvem (Google Drive, Dropbox, OneDrive) para fazer o upload do arquivo e compartilhar o link com a pessoa. Ou utilize serviços de transferência como WeTransfer."
Minha webcam não funciona.,Verifique se a webcam está conectada. Teste em outro aplicativo ou site. Certifique-se de que a webcam está selecionada como dispositivo de vídeo padrão nas configurações do seu programa. Verifique se o driver está atualizado.
Não consigo conectar na VPN.,Verifique sua conexão com a internet. Certifique-se de que suas credenciais (usuário e senha) da VPN estão corretas. O servidor VPN pode estar com problemas ou o software da VPN precisa ser atualizado.
"O que é um ""cookie"" no navegador?","Cookies são pequenos arquivos que sites armazenam no seu computador para lembrar informações sobre você, como suas preferências de login, itens no carrinho de compras, etc."
Como faço para limpar os dados de navegação?,"Nas configurações do seu navegador, procure por ""Limpar dados de navegação"" ou ""Histórico de navegação"". Você pode escolher limpar cache, cookies, histórico, etc."
O botão de ligar/desligar não funciona.,"Se o computador já estiver ligado, tente o desligamento via software (Iniciar > Ligar/Desligar > Desligar). Se ele não liga, verifique o cabo de energia. Pode ser um problema no botão físico, o que exige suporte técnico."
